Question,LC#,Category,Topic,Pattern,Company,Difficulty,Status,Date,Attempts,Notes
Search Insert Position,35,coding,,,meta,,not-started,,,
Multiply Strings,43,coding,,,meta,,not-started,,,
Spiral Matrix,54,coding,,,meta,,not-started,,,
Jump Game,55,coding,,,meta,,not-started,,,
Subsets II,90,coding,,,meta,,not-started,,,
Populating Next Right Pointers in Each Node II,117,coding,,,meta,,not-started,,,
Word Break II,140,coding,,,meta,,not-started,,,
Max Points on a Line,149,coding,,,meta,,not-started,,,
Basic Calculator,224,coding,,,meta,,not-started,,,
Count Equal and Divisible Pairs in an Array,2176,coding,,,meta,,not-started,,,
Valid Anagram,242,coding,,,meta,,not-started,,,
Move Zeroes,283,coding,,,meta,,not-started,,,
Largest Divisible Subset,368,coding,,,meta,,not-started,,,
Longest Repeating Character Replacement,424,coding,,,meta,,not-started,,,
Single Element in a Sorted Array,540,coding,,,meta,,not-started,,,
Boundary of Binary Tree,545,coding,,,meta,,not-started,,,
Managers with at Least 5 Direct Reports,570,coding,,,meta,,not-started,,,
Big Countries,595,coding,,,meta,,not-started,,,
Letter Case Permutation,784,coding,,,meta,,not-started,,,
Domino and Tromino Tiling,790,coding,,,meta,,not-started,,,
Binary Tree Cameras,968,coding,,,meta,,not-started,,,
Rotten Oranges,994,coding,,,meta,,not-started,,,
Greatest Common Divisor of Strings,1071,coding,,,meta,,not-started,,,
Meeting Scheduler,1229,coding,,,meta,,not-started,,,
Find Numbers with Even Number of Digits,1295,coding,,,meta,,not-started,,,
Diagonal Traverse II,1424,coding,,,meta,,not-started,,,
Minimum Time to Collect All Apples in a Tree,1443,coding,,,meta,,not-started,,,
Frequency of the Most Frequent Element,1838,coding,,,meta,,not-started,,,
Largest Color Value in a Directed Graph,1857,coding,,,meta,,not-started,,,
Remove Element,27,coding,,,meta,,not-started,,,
Longest Valid Parentheses,32,coding,,,meta,,not-started,,,
First Missing Positive,41,coding,,,meta,,not-started,,,
Rotate Image,48,coding,,,meta,,not-started,,,
N-Queens,51,coding,,,meta,,not-started,,,
Unique Paths,62,coding,,,meta,,not-started,,,
Remove Duplicates from Sorted Array II,80,coding,,,meta,,not-started,,,
Search in Rotated Sorted Array II,81,coding,,,meta,,not-started,,,
Largest Rectangle in Histogram,84,coding,,,meta,,not-started,,,
Symmetric Tree,101,coding,,,meta,,not-started,,,
Binary Tree Level Order Traversal,102,coding,,,meta,,not-started,,,
Binary Tree Zigzag Level Order Traversal,103,coding,,,meta,,not-started,,,
Path Sum II,113,coding,,,meta,,not-started,,,
Pascal's Triangle,118,coding,,,meta,,not-started,,,
Linked List Cycle,141,coding,,,meta,,not-started,,,
Reverse Words in a String,151,coding,,,meta,,not-started,,,
Min Stack,155,coding,,,meta,,not-started,,,
Count the Hidden Sequences,2145,coding,,,meta,,not-started,,,
Reverse Linked List,206,coding,,,meta,,not-started,,,
Kth Smallest Element in a BST,230,coding,,,meta,,not-started,,,
Encode and Decode Strings,271,coding,,,meta,,not-started,,,
Odd Even Linked List,328,coding,,,meta,,not-started,,,
Reconstruct Itinerary,332,coding,,,meta,,not-started,,,
Intersection of Two Arrays,349,coding,,,meta,,not-started,,,
Count Subarrays With Score Less Than K,2302,coding,,,meta,,not-started,,,
Evaluate Division,399,coding,,,meta,,not-started,,,
Partition Equal Subset Sum,416,coding,,,meta,,not-started,,,
Longest Nice Subarray,2401,coding,,,meta,,not-started,,,
Assign Cookies,455,coding,,,meta,,not-started,,,
Target Sum,494,coding,,,meta,,not-started,,,
Convert BST to Greater Tree,538,coding,,,meta,,not-started,,,
Next Greater Element III,556,coding,,,meta,,not-started,,,
Array Partition,561,coding,,,meta,,not-started,,,
Sum of Square Numbers,633,coding,,,meta,,not-started,,,
Put Marbles in Bags,2551,coding,,,meta,,not-started,,,
House Robber IV,2560,coding,,,meta,,not-started,,,
Partition to K Equal Sum Subsets,698,coding,,,meta,,not-started,,,
Swim in Rising Water,778,coding,,,meta,,not-started,,,
Peak Index in a Mountain Array,852,coding,,,meta,,not-started,,,
Sort Array By Parity,905,coding,,,meta,,not-started,,,
Snakes and Ladders,909,coding,,,meta,,not-started,,,
Fibonacci Number,509,coding,,,meta,,not-started,,,
Distribute Candies Among Children II,2929,coding,,,meta,,not-started,,,
Count Subarrays Where Max Element Appears at Least K Times,2962,coding,,,meta,,not-started,,,
Number of Visible People in a Queue,1944,coding,,,meta,,not-started,,,
Maximum Profit in Job Scheduling,1235,coding,,,meta,,not-started,,,
All Ancestors of a Node in a DAG,2192,coding,,,meta,,not-started,,,
Count Largest Group,1399,coding,,,meta,,not-started,,,
Consecutive Characters,1446,coding,,,meta,,not-started,,,
Shuffle the Array,1470,coding,,,meta,,not-started,,,
Count Number of Balanced Permutations,3343,coding,,,meta,,not-started,,,
Zero Array Transformation II,3356,coding,,,meta,,not-started,,,
Zero Array Transformation III,3362,coding,,,meta,,not-started,,,
Lowest Common Ancestor of a Binary xxTree II,1644,coding,,,meta,,not-started,,,
Concatenated Divisibility,3533,coding,,,meta,,not-started,,,
Max Number of K-Sum Pairs,1679,coding,,,meta,,not-started,,,
Shortest Path in a Hidden Grid,1778,coding,,,meta,,not-started,,,
Largest Odd Number in String,1903,coding,,,meta,,not-started,,,
Nearest Exit from Entrance in Maze,1926,coding,,,meta,,not-started,,,
3Sum Closest,16,coding,,,meta,,not-started,,,
4Sum,18,coding,,,meta,,not-started,,,
Find the Index of the First Occurrence in a String,28,coding,,,meta,,not-started,,,
Sum of Digits of String After Convert,1945,coding,,,meta,,not-started,,,
Count and Say,38,coding,,,meta,,not-started,,,
Jump Game II,45,coding,,,meta,,not-started,,,
Length of Last Word,58,coding,,,meta,,not-started,,,
Spiral Matrix II,59,coding,,,meta,,not-started,,,
Rotate List,61,coding,,,meta,,not-started,,,
Sqrt(x),69,coding,,,meta,,not-started,,,
Edit Distance,72,coding,,,meta,,not-started,,,
Maximal Rectangle,85,coding,,,meta,,not-started,,,
Validate Binary Search Tree,98,coding,,,meta,,not-started,,,
Convert Sorted List to Binary Search Tree,109,coding,,,meta,,not-started,,,
Minimum Depth of Binary Tree,111,coding,,,meta,,not-started,,,
Distinct Subsequences,115,coding,,,meta,,not-started,,,
Triangle,120,coding,,,meta,,not-started,,,
Longest Consecutive Sequence,128,coding,,,meta,,not-started,,,
Painting a Grid With Three Different Colors,1931,coding,,,meta,,not-started,,,
Palindrome Partitioning,131,coding,,,meta,,not-started,,,
Maximum Number of Tasks You Can Assign,2071,coding,,,meta,,not-started,,,
Palindrome Partitioning II,132,coding,,,meta,,not-started,,,
Single Number,136,coding,,,meta,,not-started,,,
Check if an Original String Exists Given Two Encoded Strings,2060,coding,,,meta,,not-started,,,
Binary Tree Preorder Traversal,144,coding,,,meta,,not-started,,,
Find Minimum in Rotated Sorted Array,153,coding,,,meta,,not-started,,,
Rank Scores,178,coding,,,meta,,not-started,,,
Largest Number,179,coding,,,meta,,not-started,,,
Sum of Subarray Ranges,2104,coding,,,meta,,not-started,,,
Customers Who Never Order,183,coding,,,meta,,not-started,,,
A Number After a Double Reversal,2119,coding,,,meta,,not-started,,,
Longest Palindrome by Concatenating Two Letter Words,2131,coding,,,meta,,not-started,,,
Isomorphic Strings,205,coding,,,meta,,not-started,,,
Minimum Size Subarray Sum,209,coding,,,meta,,not-started,,,
Course Schedule II,210,coding,,,meta,,not-started,,,
Word Search II,212,coding,,,meta,,not-started,,,
Solving Questions With Brainpower,2140,coding,,,meta,,not-started,,,
Graph Valid Tree,261,coding,,,meta,,not-started,,,
Missing Number,268,coding,,,meta,,not-started,,,
Walls and Gates,286,coding,,,meta,,not-started,,,
Remove Digit From Number to Maximize Result,2259,coding,,,meta,,not-started,,,
Minimum Average Difference,2256,coding,,,meta,,not-started,,,
Longest Increasing Subsequence,300,coding,,,meta,,not-started,,,
Range Sum Query 2D - Immutable,304,coding,,,meta,,not-started,,,
Power of Three,326,coding,,,meta,,not-started,,,
Increasing Triplet Subsequence,334,coding,,,meta,,not-started,,,
Integer Break,343,coding,,,meta,,not-started,,,
Intersection of Two Arrays II,350,coding,,,meta,,not-started,,,
Valid Perfect Square,367,coding,,,meta,,not-started,,,
Shuffle an Array,384,coding,,,meta,,not-started,,,
Is Subsequence,392,coding,,,meta,,not-started,,,
Convert a Number to Hexadecimal,405,coding,,,meta,,not-started,,,
Split Array Largest Sum,410,coding,,,meta,,not-started,,,
Max Consecutive Ones,485,coding,,,meta,,not-started,,,
Next Greater Element II,503,coding,,,meta,,not-started,,,
Contiguous Array,525,coding,,,meta,,not-started,,,
01 Matrix,542,coding,,,meta,,not-started,,,
Find the Closest Palindrome,564,coding,,,meta,,not-started,,,
Count the Number of Good Subarrays,2537,coding,,,meta,,not-started,,,
Friend Requests II: Who Has the Most Friends,602,coding,,,meta,,not-started,,,
Construct String from Binary Tree,606,coding,,,meta,,not-started,,,
Triangle Judgement,610,coding,,,meta,,not-started,,,
Count the Number of Fair Pairs,2563,coding,,,meta,,not-started,,,
Image Smoother,661,coding,,,meta,,not-started,,,
Valid Parenthesis String,678,coding,,,meta,,not-started,,,
Function Composition,2629,coding,,,meta,,not-started,,,
Max Area of Island,695,coding,,,meta,,not-started,,,
Max Stack,716,coding,,,meta,,not-started,,,
Asteroid Collision,735,coding,,,meta,,not-started,,,
Event Emitter,2694,coding,,,meta,,not-started,,,
To Be Or Not To Be,2704,coding,,,meta,,not-started,,,
Partition Labels,763,coding,,,meta,,not-started,,,
Binary Search,704,coding,,,meta,,not-started,,,
Rabbits in Forest,781,coding,,,meta,,not-started,,,
Count Complete Subarrays in an Array,2799,coding,,,meta,,not-started,,,
All Paths From Source to Target,797,coding,,,meta,,not-started,,,
Design HashSet,705,coding,,,meta,,not-started,,,
Binary Tree Pruning,814,coding,,,meta,,not-started,,,
Rectangle Overlap,836,coding,,,meta,,not-started,,,
Push Dominoes,838,coding,,,meta,,not-started,,,
Backspace String Compare,844,coding,,,meta,,not-started,,,
Smallest Subtree with all the Deepest Nodes,865,coding,,,meta,,not-started,,,
Generate Random Point in a Circle,478,coding,,,meta,,not-started,,,
Monotonic Array,896,coding,,,meta,,not-started,,,
Maximum Sum Circular Subarray,918,coding,,,meta,,not-started,,,
Validate Stack Sequences,946,coding,,,meta,,not-started,,,
Most Stones Removed with Same Row or Column,947,coding,,,meta,,not-started,,,
Maximum Odd Binary Number,2864,coding,,,meta,,not-started,,,
Create a DataFrame from List,2877,coding,,,meta,,not-started,,,
Maximum XOR With an Element From Array,1707,coding,Trie,trie + offline sorting,,hard,solved,30Jun26,,
Make Array Non-decreasing or Non-increasing,2263,coding,DP,dp with prefix min,,hard,solved,29Jun26,,
